company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
GOODWAY INTEGRATED INDUSTRIES BERHAD,"GOODWAY  
 ",31/3/2006,1,31/12/2006,24 May 2006  ,33882,26053,33882,26053,"1,608","1,252","1,608","1,252","1,381","1,028","1,381","1,028",575263
ACOUSTECH BERHAD,"ACOSTEC  
 ",31/3/2006,4,31/3/2006,24 May 2006  ,61764,47389,301927,227659,"3,973","5,095","25,173","26,472","2,156","3,222","16,708","17,988",575264
MALAYAN FLOUR MILLS BERHAD,"MFLOUR  
 ",31/3/2006,1,31/12/2006,23 May 2006  ,177784,183998,177784,183998,"13,372","4,659","13,372","4,659","9,553","2,088","9,553","2,088",575266
FAST TRACK SOLUTION HOLDINGS BERHAD,"FASTRAK  
 ",31/3/2006,1,31/12/2006,19 May 2006  ,187,747,187,747,-474,334,-474,334,-492,328,-492,328,575280
GULA PERAK BERHAD,"GPERAK  
 ",31/3/2006,4,31/3/2006,30 May 2006  ,7320,13902,31018,39549,"1,515","3,655","1,108","2,265","1,514","3,648","1,105","2,253",575295
TRACOMA HOLDINGS BERHAD,"TRACOMA  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,33084,29399,33084,29399,"1,781","4,001","1,781","4,001","1,090","2,865","1,090","2,865",575296
AIKBEE RESOURCES BERHAD,"AIKBEE  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,17670,15816,17670,15816,"-3,860",-616,"-3,860",-616,"-3,730",-616,"-3,730",-616,575302
GLOBAL SOFT (MSC) BHD.,"GLOSOFT  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,2343,1127,2343,1127,281,255,281,255,281,252,281,252,575305
PAN MALAYSIA CORPORATION BERHAD,"PMCORP  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,59893,81012,59893,81012,"4,851","6,800","4,851","6,800","3,666","4,747","3,666","4,747",575320
SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,"SBAGAN  
 ",31/3/2006,3,30/6/2006,30 May 2006  ,1947,1976,8091,8202,"2,898",-598,"5,607","9,143","2,753",-848,"4,618","7,986",575328
MALAYSIA STEEL WORKS (KL) BHD,"MASTEEL  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,72139,69719,72139,69719,"3,490","4,677","3,490","4,677","3,490","4,677","3,490","4,677",575331
DATAPREP HOLDINGS BHD,"DATAPRP  
 ",31/3/2006,4,31/3/2006,31 May 2006  ,21855,23093,74657,71282,434,820,388,"2,048",142,152,"-1,813","2,367",575337
HEXAGON HOLDINGS BHD,"HEXAGON  
 ",31/3/2006,4,31/3/2006,31 May 2006  ,54929,40783,205278,179640,"3,392","1,758","14,375","9,287","2,838","1,464","12,121","7,602",575346
EXCEL FORCE MSC BERHAD,"EFORCE  
 ",31/3/2006,1,31/12/2006,30 May 2006  ,1411,1106,1411,1106,499,461,499,461,489,452,489,452,575347
JT INTERNATIONAL BERHAD,"JTINTER  
 ",30/9/2005,3,31/12/2005,9 Nov 2005  ,273135,242159,678274,606918,"54,255","40,756","118,629","111,619","38,818","29,021","83,880","78,850",575354
FARM'S BEST BERHAD,"FARMBES  
 ",30/9/2005,3,31/12/2005,14 Nov 2005  ,89957,82745,270091,278606,"7,494","-25,169","24,277","-34,101","7,036","-23,941","22,671","-34,123",575355
LEADER UNIVERSAL HOLDINGS BERHAD,"LEADER  
 ",30/9/2005,3,31/12/2005,15 Nov 2005  ,433612,333978,1166924,935699,"14,041","4,246","35,151","18,214","8,241","2,377","17,283","11,875",575365
MALAYSIAN PACIFIC INDUSTRIES BERHAD,"MPI  
 ",30/9/2005,1,30/6/2006,21 Nov 2005  ,297178,315119,297178,315119,"22,731","29,688","22,731","29,688","14,184","17,892","14,184","17,892",575367
AXIS INCORPORATION BERHAD,"AXIS  
 ",30/9/2005,2,31/3/2006,18 Nov 2005  ,78621,54971,141448,109409,"7,655","3,935","14,299","7,003","5,870","3,110","11,473","5,161",575370
PHARMANIAGA BERHAD,"PHARMA  
 ",30/9/2005,3,31/12/2005,22 Nov 2005  ,221566,229265,692222,599214,"8,854","22,581","41,415","59,514","6,480","14,201","25,890","37,467",575379
NARRA INDUSTRIES BERHAD,"NARRA  
 ",30/9/2005,1,30/6/2006,22 Nov 2005  ,24084,26239,24084,26239,"2,319","3,117","2,319","3,117","1,796","2,329","1,796","2,329",575387
LEBAR DAUN BERHAD,"LDAUN  
 ",30/9/2005,3,31/12/2005,23 Nov 2005  ,37115,48075,117000,190219,"5,294","7,108","15,905","30,130","3,672","5,034","10,915","20,631",575388
TENCO BERHAD,"TENCO  
 ",30/9/2005,2,31/3/2006,22 Nov 2005  ,15527,15332,31477,30684,63,-418,30,-353,30,-418,-60,-353,575395
MAA HOLDINGS BERHAD,"MAA  
 ",30/9/2005,3,31/12/2005,18 Nov 2005  ,601969,492291,1810069,1471749,"1,498","5,816","-25,132","-9,552","-2,028","1,786","-23,897","-10,459",575397
KOSSAN RUBBER INDUSTRIES BERHAD,"KOSSAN  
 ",30/9/2005,3,31/12/2005,17 Nov 2005  ,106812,77269,280680,207435,"9,410","7,057","26,797","20,639","7,689","5,861","21,906","17,018",575404
PLENITUDE BERHAD,"PLENITU  
 ",30/9/2005,1,30/6/2006,17 Nov 2005  ,51502,32734,51502,32734,"16,935","11,431","16,935","11,431","12,280","8,015","12,280","8,015",575408
ASTRAL SUPREME BERHAD,"ASUPREM  
 ",30/9/2005,3,31/12/2005,23 Nov 2005  ,15201,7228,34185,15197,"2,141",302,189,"-1,795",766,212,-862,"-1,991",575433
UTAMA BANKING GROUP BERHAD,"UTAMA  
 ",30/9/2005,3,31/12/2005,24 Nov 2005  ,3762,7607,11426,30019,"7,252","6,368","24,306","39,974","-1,034","-2,685","-9,422","7,747",575438
SUNWAY HOLDINGS INCORPORATED BERHAD,"SUNINC  
 ",30/9/2005,3,30/6/2006,23 Nov 2005  ,272458,360886,954698,1103852,"8,601","23,200","29,792","82,283",372,"16,367","4,503","57,174",575441
